(2751, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'R')
(2752, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'R')
(2756, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'R')
(2757, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'L')
(2760, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'R')
(2763, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'L')
(2765, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'L')
(2766, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'R')
(2771, '2021:08:12:16:05:25', '2021:08:12:16:05:25', 'R')
(2780, '2021:08:12:16:05:26', '2021:08:12:16:05:26', 'R')
(2783, '2021:08:12:16:05:26', '2021:08:12:16:05:26', 'R')
(2785, '2021:08:12:16:05:26', '2021:08:12:16:05:26', 'L')
(2788, '2021:08:12:16:05:26', '2021:08:12:16:05:26', 'R')
(2795, '2021:08:12:16:05:26', '2021:08:12:16:05:26', 'R')
(2797, '2021:08:12:16:05:26', '2021:08:12:16:05:26', 'R')
(2810, '2021:08:12:16:10:13', '2021:08:12:16:10:13', 'L')
(2812, '2021:08:12:16:10:13', '2021:08:12:16:10:13', 'L')
(2813, '2021:08:12:16:10:13', '2021:08:12:16:10:13', 'R')
(2817, '2021:08:12:16:10:13', '2021:08:12:16:10:13', 'L')
(2822, '2021:08:12:16:10:13', '2021:08:12:16:10:13', 'R')
(2823, '2021:08:12:16:10:13', '2021:08:12:16:10:13', 'R')
(2402, '2021:08:12:13:41:00', '2021:08:12:13:41:00', 'L')
(2404, '2021:08:12:13:41:00', '2021:08:12:13:41:00', 'R')
(2828, '2021:08:12:16:10:13', '2021:08:12:16:10:13', 'R')
(2834, '2021:08:12:16:10:13', '2021:08:12:16:10:13', 'L')
(2839, '2021:08:12:16:10:13', '2021:08:12:16:10:13', 'L')
(2843, '2021:08:12:16:10:13', '2021:08:12:16:10:13', 'R')
(2847, '2021:08:12:16:10:13', '2021:08:12:16:10:13', 'R')
(2865, '2021:08:12:16:10:14', '2021:08:12:16:10:14', 'L')
(2870, '2021:08:12:16:10:14', '2021:08:12:16:10:14', 'R')
(2871, '2021:08:12:16:10:14', '2021:08:12:16:10:14', 'R')
(2874, '2021:08:12:16:10:14', '2021:08:12:16:10:14', 'R')
(2875, '2021:08:12:16:10:14', '2021:08:12:16:10:14', 'R')
(2876, '2021:08:12:16:10:14', '2021:08:12:16:10:14', 'L')
(2883, '2021:08:12:16:10:14', '2021:08:12:16:10:14', 'R')
(2884, '2021:08:12:16:10:14', '2021:08:12:16:10:14', 'R')
(2887, '2021:08:12:16:10:14', '2021:08:12:16:10:14', 'L')
(2890, '2021:08:12:16:10:14', '2021:08:12:16:10:14', 'L')
(2893, '2021:08:12:16:10:14', '2021:08:12:16:10:14', 'L')
(2896, '2021:08:12:16:10:14', '2021:08:12:16:10:14', 'L')
(2903, '2021:08:12:16:34:48', '2021:08:12:16:34:48', 'L')
(2910, '2021:08:12:16:34:48', '2021:08:12:16:34:48', 'R')
(2923, '2021:08:12:16:34:48', '2021:08:12:16:34:48', 'L')
(2929, '2021:08:12:16:34:48', '2021:08:12:16:34:48', 'R')
(2934, '2021:08:12:16:34:48', '2021:08:12:16:34:48', 'R')
(2943, '2021:08:12:16:34:48', '2021:08:12:16:34:48', 'L')
(2944, '2021:08:12:16:34:48', '2021:08:12:16:34:48', 'L')
(2945, '2021:08:12:16:34:48', '2021:08:12:16:34:48', 'R')
(2949, '2021:08:12:16:34:48', '2021:08:12:16:34:48', 'L')
(2954, '2021:08:12:16:34:48', '2021:08:12:16:34:48', 'L')
(2964, '2021:08:12:16:34:48', '2021:08:12:16:34:48', 'L')
(2970, '2021:08:12:16:34:48', '2021:08:12:16:34:48', 'R')
(2973, '2021:08:12:16:34:48', '2021:08:12:16:34:48', 'L')
(2978, '2021:08:12:16:34:49', '2021:08:12:16:34:49', 'L')
(2981, '2021:08:12:16:34:49', '2021:08:12:16:34:49', 'R')
(2990, '2021:08:12:16:34:49', '2021:08:12:16:34:49', 'R')
(2996, '2021:08:12:16:34:49', '2021:08:12:16:34:49', 'R')
(2997, '2021:08:12:16:34:49', '2021:08:12:16:34:49', 'L')
(3000, '2021:08:12:16:34:49', '2021:08:12:16:34:49', 'R')
(3507, '2021:08:13:16:33:42', '2021:08:13:16:33:42', 'L')
(3519, '2021:08:13:16:33:42', '2021:08:13:16:33:42', 'L')
(3524, '2021:08:13:16:33:42', '2021:08:13:16:33:42', 'L')
(3529, '2021:08:13:16:33:42', '2021:08:13:16:33:42', 'R')
(3530, '2021:08:13:16:33:42', '2021:08:13:16:33:42', 'R')
(3532, '2021:08:13:16:33:42', '2021:08:13:16:33:42', 'L')
(3534, '2021:08:13:16:33:42', '2021:08:13:16:33:42', 'L')
(3536, '2021:08:13:16:33:42', '2021:08:13:16:33:42', 'R')
(3537, '2021:08:13:16:33:42', '2021:08:13:16:33:42', 'L')
(3539, '2021:08:13:16:33:42', '2021:08:13:16:33:42', 'L')
(3543, '2021:08:13:16:33:42', '2021:08:13:16:33:42', 'L')
(3552, '2021:08:13:16:33:42', '2021:08:13:16:33:42', 'L')
(3560, '2021:08:13:16:33:42', '2021:08:13:16:33:42', 'R')
(3561, '2021:08:13:16:33:42', '2021:08:13:16:33:42', 'L')
(3562, '2021:08:13:16:33:42', '2021:08:13:16:33:42', 'R')
(3585, '2021:08:13:16:33:43', '2021:08:13:16:33:43', 'L')
(3587, '2021:08:13:16:33:43', '2021:08:13:16:33:43', 'R')
(3592, '2021:08:13:16:33:43', '2021:08:13:16:33:43', 'L')
(3595, '2021:08:13:16:33:43', '2021:08:13:16:33:43', 'R')
(4312, '2021:08:17:11:45:19', '2021:08:17:11:45:19', 'R')
